source_file,source_line,caller_module,caller_name,callee_path,status,confidence
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,229,scripts.setup_environment,setup_environment_variables,<builtin>.print,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,230,scripts.setup_environment,setup_environment_variables,<builtin>.print,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,231,scripts.setup_environment,setup_environment_variables,<builtin>.print,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,236,scripts.setup_environment,download_models_prompt,scripts.setup_environment.print_header,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,238,scripts.setup_environment,download_models_prompt,<builtin>.print,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,239,scripts.setup_environment,download_models_prompt,<builtin>.print,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,240,scripts.setup_environment,download_models_prompt,<builtin>.print,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,241,scripts.setup_environment,download_models_prompt,<builtin>.print,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,242,scripts.setup_environment,download_models_prompt,<builtin>.print,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,244,scripts.setup_environment,download_models_prompt,<builtin>.input,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,247,scripts.setup_environment,download_models_prompt,<builtin>.print,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,249,scripts.setup_environment,download_models_prompt,<builtin>.print,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,251,scripts.setup_environment,download_models_prompt,<builtin>.print,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,256,scripts.setup_environment,run_tests,scripts.setup_environment.print_header,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,258,scripts.setup_environment,run_tests,<builtin>.input,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,259,scripts.setup_environment,run_tests,response.lower,external,low
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,260,scripts.setup_environment,run_tests,<builtin>.print,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,263,scripts.setup_environment,run_tests,<builtin>.print,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,264,scripts.setup_environment,run_tests,subprocess.run,external,medium
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,267,scripts.setup_environment,run_tests,<builtin>.print,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,269,scripts.setup_environment,run_tests,<builtin>.print,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,274,scripts.setup_environment,print_summary,scripts.setup_environment.print_header,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,276,scripts.setup_environment,print_summary,<builtin>.print,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,277,scripts.setup_environment,print_summary,<builtin>.print,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,278,scripts.setup_environment,print_summary,<builtin>.print,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,279,scripts.setup_environment,print_summary,<builtin>.print,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,281,scripts.setup_environment,print_summary,<builtin>.print,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,282,scripts.setup_environment,print_summary,<builtin>.print,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,284,scripts.setup_environment,print_summary,<builtin>.print,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,285,scripts.setup_environment,print_summary,<builtin>.print,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,287,scripts.setup_environment,print_summary,<builtin>.print,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,288,scripts.setup_environment,print_summary,<builtin>.print,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,290,scripts.setup_environment,print_summary,<builtin>.print,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,291,scripts.setup_environment,print_summary,<builtin>.print,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,293,scripts.setup_environment,print_summary,<builtin>.print,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,294,scripts.setup_environment,print_summary,<builtin>.print,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,299,scripts.setup_environment,main,<builtin>.print,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,300,scripts.setup_environment,main,<builtin>.print,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,301,scripts.setup_environment,main,<builtin>.print,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,304,scripts.setup_environment,main,scripts.setup_environment.check_python_version,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,305,scripts.setup_environment,main,sys.exit,external,medium
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,308,scripts.setup_environment,main,scripts.setup_environment.create_directories,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,311,scripts.setup_environment,main,scripts.setup_environment.install_dependencies,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,314,scripts.setup_environment,main,scripts.setup_environment.setup_configuration,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,317,scripts.setup_environment,main,scripts.setup_environment.setup_environment_variables,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,320,scripts.setup_environment,main,scripts.setup_environment.download_models_prompt,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,323,scripts.setup_environment,main,scripts.setup_environment.run_tests,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,326,scripts.setup_environment,main,scripts.setup_environment.print_summary,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\setup_environment.py,330,scripts.setup_environment,<module:scripts.setup_environment>,scripts.setup_environment.main,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\validate_installation.py,29,scripts.validate_installation,check_python_version,<builtin>.print,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\validate_installation.py,31,scripts.validate_installation,check_python_version,<builtin>.print,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\validate_installation.py,40,scripts.validate_installation,check_dependencies,importlib.import_module,external,medium
C:\00Projects\engineering_items_attributes_enrichment\scripts\validate_installation.py,40,scripts.validate_installation,check_dependencies,package.replace,external,low
C:\00Projects\engineering_items_attributes_enrichment\scripts\validate_installation.py,41,scripts.validate_installation,check_dependencies,<builtin>.print,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\validate_installation.py,43,scripts.validate_installation,check_dependencies,<builtin>.print,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\validate_installation.py,44,scripts.validate_installation,check_dependencies,missing.append,external,low
C:\00Projects\engineering_items_attributes_enrichment\scripts\validate_installation.py,45,scripts.validate_installation,check_dependencies,<builtin>.len,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\validate_installation.py,53,scripts.validate_installation,check_structure,<complex>.exists,uncertain,low
C:\00Projects\engineering_items_attributes_enrichment\scripts\validate_installation.py,53,scripts.validate_installation,check_structure,pathlib.Path,external,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\validate_installation.py,54,scripts.validate_installation,check_structure,<builtin>.print,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\validate_installation.py,56,scripts.validate_installation,check_structure,<builtin>.print,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\validate_installation.py,57,scripts.validate_installation,check_structure,missing.append,external,low
C:\00Projects\engineering_items_attributes_enrichment\scripts\validate_installation.py,58,scripts.validate_installation,check_structure,<builtin>.len,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\validate_installation.py,62,scripts.validate_installation,main,<builtin>.print,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\validate_installation.py,63,scripts.validate_installation,main,<builtin>.print,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\validate_installation.py,64,scripts.validate_installation,main,<builtin>.print,exists,high
C:\00Projects\engineering_items_attributes_enrichment\scripts\validate_installation.py,68,scripts.validate_installation,main,<builtin>.print,exists,high
